"Province.State","Country.Region","Lat","Long","date","num"
"Guizhou","Mainland China",26.81536,106.8748,"2.18.2020",146
"Guizhou","Mainland China",26.81536,106.8748,"2.19.2020",146
"Guizhou","Mainland China",26.81536,106.8748,"2.20.2020",146
"Guizhou","Mainland China",26.81536,106.8748,"2.21.2020",146
"Guizhou","Mainland China",26.81536,106.8748,"2.22.2020",146
"Guizhou","Mainland China",26.81536,106.8748,"2.23.2020",146
"Guizhou","Mainland China",26.81536,106.8748,"2.24.2020",146
"Guizhou","Mainland China",26.81536,106.8748,"2.25.2020",146
"Guizhou","Mainland China",26.81536,106.8748,"2.26.2020",146
"Hainan","Mainland China",19.19673,109.7455,"1.22.2020",4
"Hainan","Mainland China",19.19673,109.7455,"1.23.2020",5
"Hainan","Mainland China",19.19673,109.7455,"1.24.2020",8
"Hainan","Mainland China",19.19673,109.7455,"1.25.2020",19
"Hainan","Mainland China",19.19673,109.7455,"1.26.2020",22
"Hainan","Mainland China",19.19673,109.7455,"1.27.2020",33
"Hainan","Mainland China",19.19673,109.7455,"1.28.2020",40
"Hainan","Mainland China",19.19673,109.7455,"1.29.2020",43
"Hainan","Mainland China",19.19673,109.7455,"1.30.2020",46
"Hainan","Mainland China",19.19673,109.7455,"1.31.2020",52
"Hainan","Mainland China",19.19673,109.7455,"2.1.2020",62
"Hainan","Mainland China",19.19673,109.7455,"2.2.2020",64
"Hainan","Mainland China",19.19673,109.7455,"2.3.2020",72
"Hainan","Mainland China",19.19673,109.7455,"2.4.2020",80
"Hainan","Mainland China",19.19673,109.7455,"2.5.2020",99
"Hainan","Mainland China",19.19673,109.7455,"2.6.2020",106
"Hainan","Mainland China",19.19673,109.7455,"2.7.2020",117
"Hainan","Mainland China",19.19673,109.7455,"2.8.2020",124
"Hainan","Mainland China",19.19673,109.7455,"2.9.2020",131
"Hainan","Mainland China",19.19673,109.7455,"2.10.2020",138
"Hainan","Mainland China",19.19673,109.7455,"2.11.2020",144
"Hainan","Mainland China",19.19673,109.7455,"2.12.2020",157
"Hainan","Mainland China",19.19673,109.7455,"2.13.2020",157
"Hainan","Mainland China",19.19673,109.7455,"2.14.2020",159
"Hainan","Mainland China",19.19673,109.7455,"2.15.2020",162
"Hainan","Mainland China",19.19673,109.7455,"2.16.2020",162
"Hainan","Mainland China",19.19673,109.7455,"2.17.2020",163
"Hainan","Mainland China",19.19673,109.7455,"2.18.2020",163
"Hainan","Mainland China",19.19673,109.7455,"2.19.2020",168
"Hainan","Mainland China",19.19673,109.7455,"2.20.2020",168
"Hainan","Mainland China",19.19673,109.7455,"2.21.2020",168
"Hainan","Mainland China",19.19673,109.7455,"2.22.2020",168
